y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Top_degC;y_rTTan1Bot_degC;y_rTTan2Top_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
29.803078002007226;21.500115911552427;20.658514585628723;20.031061244389093;20.000000000236753;20.00000000021305;0.10000000149011612;0.0;1.0;0.0;631.4000000000215
29.862565690858105;21.526535526920895;20.666554078698937;20.031646596003156;20.00000000024164;20.0000000002172;0.10000000149011612;0.0;1.0;0.0;631.7500000000215
29.92227143789046;21.55302370832942;20.674643523931536;20.032238662685074;20.000000000246644;20.000000000221405;0.10000000149011612;0.0;1.0;0.0;632.1000000000215
29.982195187841455;21.579580242685154;20.68278324028546;20.03283748298668;20.000000000251703;20.00000000022567;0.10000000149011612;0.0;1.0;0.0;632.4500000000215
30.04233683289374;21.60620491509161;20.690973430862925;20.033443095634823;20.00000000025682;20.00000000022999;0.10000000149011612;0.0;1.0;0.0;632.8000000000216
30.102695867151;21.632897271409377;20.699213612339804;20.034055539505516;20.00000000026199;20.000000000234365;0.10000000149011612;0.0;1.0;0.0;633.1500000000216
30.163272382857883;21.65965730284364;20.70750426003781;20.03467485369788;20.000000000267278;20.0000000002388;0.10000000149011612;0.0;1.0;0.0;633.5000000000216
30.2240662624107;21.686484890705685;20.71584547367985;20.035301077474287;20.00000000027262;20.00000000024329;0.10000000149011612;0.0;1.0;0.0;633.8500000000216
30.28507739364221;21.713379954353798;20.724237332893836;20.03593425027617;20.00000000027802;20.000000000247837;0.10000000149011612;0.0;1.0;0.0;634.2000000000216
30.346304821060357;21.740341600987165;20.73268150015707;20.03657441077746;20.000000000283478;20.000000000252385;0.10000000149011612;0.0;1.0;0.0;634.5500000000217
30.407748581478813;21.76736996440036;20.741177754083026;20.03722159893192;20.00000000028905;20.000000000257046;0.10000000149011612;0.0;1.0;0.0;634.9000000000217
30.469408339465474;21.79446483810989;20.749726566468723;20.03787585445133;20.000000000294676;20.000000000261707;0.10000000149011612;0.0;1.0;0.0;635.2500000000217
30.531283732993302;21.821626021593033;20.758328449510827;20.03853721719082;20.000000000300417;20.000000000266482;0.10000000149011612;0.0;1.0;0.0;635.6000000000217
30.593374196884838;21.848853013001985;20.766981683084623;20.039205727692604;20.00000000030616;20.000000000271257;0.10000000149011612;0.0;1.0;0.0;635.9500000000218
30.65567928276107;21.876145564547812;20.77568640391752;20.039881426209206;20.000000000312014;20.000000000276145;0.10000000149011612;0.0;1.0;0.0;636.3000000000218
30.718198514694905;21.90350343193694;20.784442760742195;20.04056435314402;20.000000000317982;20.000000000281034;0.10000000149011612;0.0;1.0;0.0;636.6500000000218
30.780931354928725;21.930926314860756;20.793250476136564;20.041254549156122;20.000000000324007;20.00000000028598;0.10000000149011612;0.0;1.0;0.0;637.0000000000218
30.84387737003641;21.958413946830262;20.802112024334633;20.041952054111505;20.00000000033009;20.00000000029098;0.10000000149011612;0.0;1.0;0.0;637.3500000000219
30.90703606165414;21.985966044233066;20.811029178647402;20.04265690826213;20.000000000336286;20.000000000296097;0.10000000149011612;0.0;1.0;0.0;637.7000000000219
30.970406803991352;22.01358228752747;20.82000173687578;20.04336915268084;20.00000000034254;20.000000000301213;0.10000000149011612;0.0;1.0;0.0;638.0500000000219
31.033989002030808;22.04126236885321;20.829030748110995;20.044088828159715;20.000000000348848;20.000000000306386;0.10000000149011612;0.0;1.0;0.0;638.4000000000219
31.09778206447953;22.06900603893331;20.83811420332529;20.044815976962695;20.00000000035527;20.000000000311616;0.10000000149011612;0.0;1.0;0.0;638.7500000000219
31.161785470813413;22.09681309230467;20.84724819938134;20.045550641809314;20.00000000036181;20.00000000031696;0.10000000149011612;0.0;1.0;0.0;639.100000000022
31.225998649919575;22.124683192440557;20.856435430538852;20.046292862527366;20.000000000368402;20.000000000322302;0.10000000149011612;0.0;1.0;0.0;639.450000000022
31.290421040318392;22.1526160581451;20.865675738076618;20.04704268027666;20.000000000375053;20.000000000327702;0.10000000149011612;0.0;1.0;0.0;639.800000000022
31.35505203020398;22.180611415139253;20.874969499425788;20.047800137089553;20.000000000381817;20.00000000033316;0.10000000149011612;0.0;1.0;0.0;640.150000000022
31.419890853156062;22.208669010395226;20.884318739207004;20.048565277678904;20.00000000038864;20.00000000033873;0.10000000149011612;0.0;1.0;0.0;640.500000000022
31.484937023893963;22.23678855224381;20.893722486911827;20.04933814188354;20.000000000395573;20.0000000003443;0.10000000149011612;0.0;1.0;0.0;640.8500000000221
31.550060717598114;22.265001057320887;20.903182300585797;20.050118782009974;20.000000000402622;20.000000000349985;0.10000000149011612;0.0;1.0;0.0;641.2000000000221
31.614958057279637;22.293378980746525;20.912698792012748;20.05090721218238;20.000000000409727;20.00000000035567;0.10000000149011612;0.0;1.0;0.0;641.5500000000221
