y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Bot_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.8766423150482626;-0.0462428522792747;20.0;19.52443848498551;0.0;0.0;0.0;0.0;12050
0.8955137922848323;-0.029800372619877294;20.0;19.524441299035225;0.0;0.0;0.0;0.0;12060
0.9143860546209884;-0.013353302948236848;20.0;19.52444411303686;0.0;0.0;0.0;0.0;12070
0.9332587788770775;0.0030980444887654295;20.0;19.524446926990425;0.0;0.0;0.0;0.0;12080
0.9521316415713325;0.019553357313422216;20.0;19.524449740895918;0.0;0.0;0.0;0.0;12090
0.9710043189228448;0.036012323018903426;20.0;19.524452554753342;0.0;0.0;0.0;0.0;12100
0.9898764868545268;0.05247462897094812;20.0;19.5244553685627;0.0;0.0;0.0;0.0;12110
1.0087478209960443;0.06893996240954496;20.0;19.524458182323986;0.0;0.0;0.0;0.0;12120
1.0276179966867385;0.08540801045060174;20.0;19.524460996037202;0.0;0.0;0.0;0.0;12130
1.0464866889785196;0.10187846008760205;20.0;19.52446380970235;0.0;0.0;0.0;0.0;12140
1.0653535726387493;0.11835099819325384;20.0;19.524466623319434;0.0;0.0;0.0;0.0;12150
1.0842183221530983;0.13482531152112398;20.0;19.52446943688845;0.0;0.0;0.0;0.0;12160
1.1030806117283787;0.15130108670726375;20.0;19.524472250409396;0.0;0.0;0.0;0.0;12170
1.1219401152953752;0.16777801027182215;20.0;19.524475063882285;0.0;0.0;0.0;0.0;12180
1.1407965065116408;0.18425576862064896;20.0;19.524477877307106;0.0;0.0;0.0;0.0;12190
1.1596494587642738;0.20073404804688771;20.0;19.524480690683863;0.0;0.0;0.0;0.0;12200
1.1784986451726893;0.21721253473255547;20.0;19.524483504012558;0.0;0.0;0.0;0.0;12210
1.1973437385913601;0.2336909147501149;20.0;19.52448631729319;0.0;0.0;0.0;0.0;12220
1.2161844116125453;0.2501688740640347;20.0;19.52448913052576;0.0;0.0;0.0;0.0;12230
1.2350203365689902;0.26664609853233917;20.0;19.52449194371027;0.0;0.0;0.0;0.0;12240
1.2538511855366195;0.2831222739081454;20.0;19.524494756846718;0.0;0.0;0.0;0.0;12250
