y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Bot_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
33.675909396957124;33.675909396957124;5.8006864887903395;5.791861740696054;0.20000000298023224;0.20000000298023224;1.0;0.0;4020
33.63824343793878;33.63824343793878;5.800744447047989;5.791883221766913;0.20000000298023224;0.20000000298023224;1.0;0.0;4030
33.59999696550481;33.59999696550481;5.800802409782619;5.791904702790199;0.20000000298023224;0.20000000298023224;1.0;0.0;4040
33.56104484574822;33.56104484574822;5.8008603769943266;5.791926183765927;0.20000000298023224;0.20000000298023224;1.0;0.0;4050
33.521271529264915;33.521271529264915;5.800918348683204;5.791947664694091;0.20000000298023224;0.20000000298023224;1.0;0.0;4060
33.48057073108241;33.48057073108241;5.800976324849347;5.7919691455747;0.20000000298023224;0.20000000298023224;1.0;0.0;4070
33.43884512123742;33.43884512123742;5.801034305492846;5.791990626407758;0.20000000298023224;0.20000000298023224;1.0;0.0;4080
33.39600602564777;33.39600602564777;5.801092290613791;5.792012107193271;0.20000000298023224;0.20000000298023224;1.0;0.0;4090
33.35197313693531;33.35197313693531;5.80115028021227;5.792033587931241;0.20000000298023224;0.20000000298023224;1.0;0.0;4100
33.306674234869874;33.306674234869874;5.80120827428837;5.792055068621677;0.20000000298023224;0.20000000298023224;1.0;0.0;4110
33.2600449161128;33.2600449161128;5.8012662728421756;5.792076549264579;0.20000000298023224;0.20000000298023224;1.0;0.0;4120
33.21202833295072;33.21202833295072;5.801324275873768;5.792098029859959;0.20000000298023224;0.20000000298023224;1.0;0.0;4130
33.16257494072044;33.16257494072044;5.801382283383231;5.792119510407817;0.20000000298023224;0.20000000298023224;1.0;0.0;4140
33.11164225363568;33.11164225363568;5.801440295370648;5.792140990908158;0.20000000298023224;0.20000000298023224;1.0;0.0;4150
33.05919460873563;33.05919460873563;5.801498311836107;5.79216247136099;0.20000000298023224;0.20000000298023224;1.0;0.0;4160
33.00520293768499;33.00520293768499;5.80155633277967;5.792183951766314;0.20000000298023224;0.20000000298023224;1.0;0.0;4170
32.94964454616455;32.94964454616455;5.8016143582014195;5.792205432124137;0.20000000298023224;0.20000000298023224;1.0;0.0;4180
32.8925029005991;32.8925029005991;5.801672388101434;5.792226912434464;0.20000000298023224;0.20000000298023224;1.0;0.0;4190
32.833767421978486;32.833767421978486;5.80173042247978;5.792248392697301;0.20000000298023224;0.20000000298023224;1.0;0.0;4200
32.77343328654029;32.77343328654029;5.801788461336535;5.79226987291265;0.20000000298023224;0.20000000298023224;1.0;0.0;4210
32.711501233091134;32.711501233091134;5.801846504671765;5.792291353080519;0.20000000298023224;0.20000000298023224;1.0;0.0;4220
32.64797737667844;32.64797737667844;5.801904552485541;5.792312833200912;0.20000000298023224;0.20000000298023224;1.0;0.0;4230
